customer_id,customer_name,email,region,signup_date
C00001,Jane Smith,user1@example.com,Asia,2022-04-21
C00002,Chris Davis,user2@example.com,South America,2020-08-20
C00003,Emily Brown,user3@example.com,South America,2022-08-21
C00004,Jane Johnson,user4@example.com,North America,2021-05-30
C00005,Mike Smith,user5@example.com,South America,2020-05-30
C00006,John Johnson,user6@example.com,Australia,2021-02-02
C00007,Emily Davis,user7@example.com,Australia,2022-05-06
C00008,John Davis,user8@example.com,South America,2021-09-25
C00009,Mike Davis,user9@example.com,South America,2021-06-27
C00010,Sophia Miller,user10@example.com,Asia,2022-01-08
C00011,John Brown,user11@example.com,Asia,2023-02-28
C00012,Mike Wilson,user12@example.com,Asia,2021-07-15
C00013,Chris Brown,user13@example.com,Europe,2022-08-20
C00014,Emily Wilson,user14@example.com,South America,2022-03-13
C00015,Jane Johnson,user15@example.com,North America,2020-08-15
C00016,Mike Johnson,user16@example.com,Australia,2020-11-23
C00017,Katie Wilson,user17@example.com,North America,2020-08-08
C00018,Chris Smith,user18@example.com,Europe,2023-02-02
C00019,Sophia Johnson,user19@example.com,Australia,2023-02-28
C00020,Mike Johnson,user20@example.com,Asia,2021-05-25
C00021,Chris Wilson,user21@example.com,Europe,2023-09-19
C00022,Emily Johnson,user22@example.com,Europe,2023-05-07
C00023,John Davis,user23@example.com,South America,2020-07-09
C00024,Chris Johnson,user24@example.com,Europe,2023-07-24
C00025,Emily Johnson,user25@example.com,South America,2020-10-29
C00026,Mike Miller,user26@example.com,Europe,2022-09-05
C00027,Sophia Wilson,user27@example.com,South America,2023-10-18
C00028,Alex Wilson,user28@example.com,Europe,2020-01-30
C00029,Katie Davis,user29@example.com,Europe,2022-05-07
C00030,Chris Johnson,user30@example.com,North America,2021-10-27
C00031,Alex Davis,user31@example.com,Europe,2020-03-01
C00032,Alex Taylor,user32@example.com,Europe,2022-06-15
C00033,Mike Miller,user33@example.com,Europe,2022-04-09
C00034,Emily Wilson,user34@example.com,South America,2020-07-30
C00035,John Davis,user35@example.com,North America,2020-11-11
C00036,John Wilson,user36@example.com,North America,2020-12-11
C00037,Mike Miller,user37@example.com,North America,2020-11-02
C00038,Jane Davis,user38@example.com,South America,2023-01-13
C00039,Katie Davis,user39@example.com,Asia,2023-08-22
C00040,Sophia Moore,user40@example.com,South America,2021-04-30
C00041,Sophia Brown,user41@example.com,South America,2023-09-05
C00042,Chris Brown,user42@example.com,Australia,2023-12-25
C00043,Emily Miller,user43@example.com,North America,2023-07-18
C00044,Mike Moore,user44@example.com,South America,2020-02-24
C00045,Katie Davis,user45@example.com,North America,2022-01-16
C00046,Alex Taylor,user46@example.com,South America,2022-03-01
C00047,Jane Smith,user47@example.com,Europe,2021-08-29
C00048,Jane Brown,user48@example.com,North America,2021-08-03
C00049,Alex Moore,user49@example.com,Asia,2022-05-08
C00050,Jane Moore,user50@example.com,Europe,2023-02-15
C00051,Mike Taylor,user51@example.com,Australia,2023-11-24
C00052,Chris Smith,user52@example.com,Australia,2021-12-23
C00053,Jane Miller,user53@example.com,Asia,2021-05-23
C00054,Katie Johnson,user54@example.com,North America,2023-10-06
C00055,Chris Moore,user55@example.com,Asia,2020-01-09
C00056,Alex Taylor,user56@example.com,Asia,2021-06-09
